query_id,provider,em,semantic_match
sealhard_6c8b9a75ad1b,tavily,1,1
sealhard_6d8469c83a5a,tavily,0,0
sealhard_6f8f541710fe,tavily,1,1
sealhard_77156a372cf9,tavily,0,0
sealhard_79977a575736,tavily,1,1
sealhard_7a73644c826b,tavily,0,0
sealhard_7b44552616b7,tavily,0,0
sealhard_7e06b26c28c5,tavily,0,0
sealhard_7e9246c1c2fc,tavily,1,1
sealhard_7fdc626d3d31,tavily,0,0
sealhard_83027d490eb7,tavily,0,0
sealhard_84253b2d7450,tavily,1,1
sealhard_848d0e19b216,tavily,0,0
sealhard_85fcb317a706,tavily,0,0
sealhard_862314ca8353,tavily,0,0
sealhard_877552ec67c0,tavily,0,0
sealhard_88907b1ee49b,tavily,0,0
sealhard_8979d1d1c501,tavily,0,0
sealhard_8999039cdd56,tavily,0,0
sealhard_8b97a64daaf1,tavily,1,1
sealhard_904abf430fa7,tavily,0,0
sealhard_92742491b67e,tavily,0,0
sealhard_93641f5fc924,tavily,0,0
sealhard_98cbbbef96fd,tavily,0,0
sealhard_9c2333ca67b4,tavily,1,1
sealhard_9d5b346b1ad2,tavily,0,0
sealhard_a2c20fcc3ff1,tavily,0,0
sealhard_ac9846d309e4,tavily,0,1
sealhard_b01f894cc6d2,tavily,0,0
sealhard_b5744e399b13,tavily,0,0
sealhard_b6c30f169f85,tavily,0,0
sealhard_b95d990d560f,tavily,1,1
sealhard_b9d6a3303845,tavily,0,0
sealhard_c02ac99c3053,tavily,0,0
sealhard_c42af40fb77f,tavily,0,0
sealhard_c71d4bbb72a2,tavily,1,1
sealhard_c8cb1e820500,tavily,0,0
sealhard_caa717c1ae32,tavily,0,0
sealhard_cbc32eddafe8,tavily,0,0
sealhard_ce095a0ff9b3,tavily,0,0
sealhard_d0e475bbc1fa,tavily,0,0
sealhard_d246c498c8d0,tavily,0,0
sealhard_d3cfe61ba140,tavily,0,0
sealhard_d6f7180757d7,tavily,0,0
sealhard_d84ed7de52a6,tavily,0,0
sealhard_d86116d626f4,tavily,0,0
sealhard_da3317f9956a,tavily,0,0
sealhard_dfbfbf0c656e,tavily,1,1
sealhard_e0bad036abba,tavily,0,0
sealhard_e5ddddb8907e,tavily,0,0
sealhard_eaa4ac25b7c8,tavily,0,1
sealhard_efdabbe9b72d,tavily,0,0
sealhard_efefd0c39dc3,tavily,0,0
sealhard_f10df60e2683,tavily,0,0
sealhard_f39b83a91b3d,tavily,0,0
sealhard_f3d0240d194b,tavily,0,0
sealhard_f55654234b08,tavily,0,0
sealhard_fae643a27cce,tavily,0,0
sealhard_fb76b1d418d2,tavily,0,0
sealhard_fb9cb8c1d039,tavily,0,0
sealhard_0117c1361b85,firecrawl,0,0
sealhard_0611df120e9b,firecrawl,0,0
sealhard_06488d667987,firecrawl,0,0
sealhard_06b1ff93f9e7,firecrawl,0,0
sealhard_0d25d5916602,firecrawl,1,1
sealhard_0fc3e12e6df9,firecrawl,0,0
sealhard_13f3dda94ad1,firecrawl,1,1
sealhard_154703c26212,firecrawl,0,0
sealhard_17561ba00ed9,firecrawl,0,0
sealhard_1768d0c92783,firecrawl,0,0
sealhard_1b9de8dee6b2,firecrawl,0,0
sealhard_21420e375cbb,firecrawl,1,1
sealhard_26f0dfb5b0e5,firecrawl,0,0
sealhard_2a710db3a65d,firecrawl,0,0
sealhard_2ccdb7c85090,firecrawl,0,0
sealhard_370de35828d1,firecrawl,1,1
sealhard_3bdf0b4d6146,firecrawl,0,0
sealhard_3c3bc246c0d6,firecrawl,0,0
sealhard_3fdf524a2ea9,firecrawl,0,1
sealhard_41eb61aaf82d,firecrawl,0,0
sealhard_457b38855fa4,firecrawl,0,0
sealhard_468bd5efbfe8,firecrawl,1,1
sealhard_470fed8377ce,firecrawl,0,0
sealhard_4981ad02a6fc,firecrawl,0,0
sealhard_4a3db339e0a0,firecrawl,0,0
sealhard_4adca023da1a,firecrawl,0,0
sealhard_4f128462c995,firecrawl,1,1
sealhard_4f507e42c1be,firecrawl,0,0
sealhard_4f8215a4eaab,firecrawl,0,0
sealhard_509fa8d560e8,firecrawl,0,0
sealhard_52c34c9decc3,firecrawl,0,0
sealhard_5668b93dd088,firecrawl,1,1
sealhard_5685bd22ca4d,firecrawl,0,0
sealhard_57a597e92ac4,firecrawl,0,0
sealhard_5a4a585bfbac,firecrawl,1,1
sealhard_5e17b3c38fb1,firecrawl,0,0
sealhard_61f85b369b4c,firecrawl,1,1
sealhard_644ca5e960ff,firecrawl,0,0
sealhard_6747b5584761,firecrawl,1,1
sealhard_6c0f077e50c1,firecrawl,1,1
sealhard_6c8b9a75ad1b,firecrawl,1,1
sealhard_6d8469c83a5a,firecrawl,0,0
sealhard_6f8f541710fe,firecrawl,0,0
sealhard_77156a372cf9,firecrawl,1,1
sealhard_79977a575736,firecrawl,1,1
sealhard_7a73644c826b,firecrawl,0,0
sealhard_7b44552616b7,firecrawl,1,1
sealhard_7e06b26c28c5,firecrawl,1,1
sealhard_7e9246c1c2fc,firecrawl,1,1
sealhard_7fdc626d3d31,firecrawl,0,0
sealhard_83027d490eb7,firecrawl,0,0
sealhard_84253b2d7450,firecrawl,1,1
sealhard_848d0e19b216,firecrawl,1,1
sealhard_85fcb317a706,firecrawl,0,0
sealhard_862314ca8353,firecrawl,0,0
sealhard_877552ec67c0,firecrawl,0,0
sealhard_88907b1ee49b,firecrawl,0,0
sealhard_8979d1d1c501,firecrawl,0,0
sealhard_8999039cdd56,firecrawl,0,0
sealhard_8b97a64daaf1,firecrawl,0,0
sealhard_904abf430fa7,firecrawl,0,0
sealhard_92742491b67e,firecrawl,0,0
sealhard_93641f5fc924,firecrawl,0,0
sealhard_98cbbbef96fd,firecrawl,0,0
sealhard_9c2333ca67b4,firecrawl,0,0
sealhard_9d5b346b1ad2,firecrawl,0,0
sealhard_a2c20fcc3ff1,firecrawl,0,0
sealhard_ac9846d309e4,firecrawl,0,0
sealhard_b01f894cc6d2,firecrawl,0,0
sealhard_b5744e399b13,firecrawl,0,0
sealhard_b6c30f169f85,firecrawl,0,0
sealhard_b95d990d560f,firecrawl,1,1
sealhard_b9d6a3303845,firecrawl,0,0
sealhard_c02ac99c3053,firecrawl,0,0
sealhard_c42af40fb77f,firecrawl,0,1
sealhard_c71d4bbb72a2,firecrawl,0,0
sealhard_c8cb1e820500,firecrawl,0,0
sealhard_caa717c1ae32,firecrawl,0,0
sealhard_cbc32eddafe8,firecrawl,0,0
sealhard_ce095a0ff9b3,firecrawl,0,0
sealhard_d0e475bbc1fa,firecrawl,0,0
sealhard_d246c498c8d0,firecrawl,0,0
sealhard_d3cfe61ba140,firecrawl,0,0
sealhard_d6f7180757d7,firecrawl,0,0
sealhard_d84ed7de52a6,firecrawl,0,0
sealhard_d86116d626f4,firecrawl,0,0
sealhard_da3317f9956a,firecrawl,0,0
sealhard_dfbfbf0c656e,firecrawl,0,0
sealhard_e0bad036abba,firecrawl,0,0
sealhard_e5ddddb8907e,firecrawl,0,0
sealhard_eaa4ac25b7c8,firecrawl,0,1
sealhard_efdabbe9b72d,firecrawl,0,0
sealhard_efefd0c39dc3,firecrawl,1,1
sealhard_f10df60e2683,firecrawl,0,0
sealhard_f39b83a91b3d,firecrawl,1,1
sealhard_f3d0240d194b,firecrawl,0,0
sealhard_f55654234b08,firecrawl,0,0
sealhard_fae643a27cce,firecrawl,0,0
sealhard_fb76b1d418d2,firecrawl,0,0
sealhard_fb9cb8c1d039,firecrawl,1,1
