provider,query_id,correct,after_cell,after_fetched_any,fetch_attempts,fetch_successes,pooled_rows,pooled_gold,pooled_contra,retained_rows,retained_gold,retained_contra
brave,sealhard_83027d490eb7,0,BLIND,1,3,3,7,0,0,7,0,0
brave,sealhard_84253b2d7450,1,MISSED,1,1,1,9,1,0,9,1,0
brave,sealhard_848d0e19b216,0,NOOP,0,0,0,30,0,0,18,0,0
brave,sealhard_85fcb317a706,0,BLIND,1,2,2,28,0,2,23,0,1
brave,sealhard_862314ca8353,0,BLIND,1,1,1,29,0,1,18,0,1
brave,sealhard_877552ec67c0,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_88907b1ee49b,0,BLIND,1,4,1,38,0,0,31,0,0
brave,sealhard_8979d1d1c501,1,BLIND,1,1,1,19,0,0,13,0,0
brave,sealhard_8999039cdd56,0,MISSED,1,1,1,9,1,0,9,1,0
brave,sealhard_8b97a64daaf1,1,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_904abf430fa7,0,BLIND,1,2,2,27,0,0,17,0,0
brave,sealhard_92742491b67e,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_93641f5fc924,1,SMART,1,1,1,36,2,0,33,2,0
brave,sealhard_98cbbbef96fd,0,MISSED,0,0,0,10,2,6,10,2,6
brave,sealhard_9c2333ca67b4,0,MISSED,1,2,0,10,1,1,10,1,1
brave,sealhard_9d5b346b1ad2,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_a2c20fcc3ff1,0,MISSED,0,0,0,10,1,0,10,1,0
brave,sealhard_ac9846d309e4,0,NOOP,0,0,0,30,0,6,20,0,2
brave,sealhard_b01f894cc6d2,0,NOOP,0,0,0,10,0,1,10,0,1
brave,sealhard_b5744e399b13,0,NOOP,0,0,0,10,0,1,10,0,1
brave,sealhard_b6c30f169f85,1,MISSED,0,0,0,20,4,0,20,4,0
brave,sealhard_b95d990d560f,0,BLIND,1,1,1,19,0,0,17,0,0
brave,sealhard_b9d6a3303845,0,BLIND,1,1,1,89,0,1,72,0,1
brave,sealhard_c02ac99c3053,0,BLIND,1,1,1,39,0,0,39,0,0
brave,sealhard_c42af40fb77f,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_c71d4bbb72a2,0,BLIND,1,1,1,19,0,0,18,0,0
brave,sealhard_c8cb1e820500,0,NOOP,0,0,0,10,0,0,10,0,0
brave,sealhard_caa717c1ae32,0,BLIND,1,2,2,8,0,0,8,0,0
brave,sealhard_cbc32eddafe8,0,NOOP,0,0,0,30,0,0,20,0,0
brave,sealhard_ce095a0ff9b3,0,BLIND,1,2,2,28,0,0,21,0,0
brave,sealhard_d0e475bbc1fa,0,MISSED,0,0,0,10,1,2,10,1,2
brave,sealhard_d246c498c8d0,1,MISSED,0,0,0,30,14,0,28,12,0
brave,sealhard_d3cfe61ba140,1,MISSED,1,1,1,29,2,0,24,1,0
brave,sealhard_d6f7180757d7,0,NOOP,0,0,0,20,0,1,17,0,1
brave,sealhard_d84ed7de52a6,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_d86116d626f4,0,BLIND,1,1,1,29,0,0,19,0,0
brave,sealhard_da3317f9956a,0,BLIND,1,1,1,29,0,0,23,0,0
brave,sealhard_dfbfbf0c656e,0,NOOP,0,0,0,10,0,0,10,0,0
brave,sealhard_e0bad036abba,0,MISSED,0,0,0,10,1,0,10,1,0
brave,sealhard_e5ddddb8907e,0,BLIND,1,3,3,17,0,0,13,0,0
brave,sealhard_eaa4ac25b7c8,0,MISSED,0,0,0,30,3,7,16,1,4
brave,sealhard_efdabbe9b72d,0,BLIND,1,1,1,29,0,0,26,0,0
brave,sealhard_efefd0c39dc3,0,NOOP,0,0,0,20,0,0,17,0,0
brave,sealhard_f10df60e2683,0,BLIND,1,2,2,68,0,0,61,0,0
brave,sealhard_f39b83a91b3d,0,BLIND,1,3,2,36,0,0,34,0,0
brave,sealhard_f3d0240d194b,0,BLIND,1,1,1,29,0,1,24,0,1
brave,sealhard_f55654234b08,0,BLIND,1,2,2,18,0,0,16,0,0
brave,sealhard_fae643a27cce,0,NOOP,0,0,0,30,0,4,22,0,3
brave,sealhard_fb76b1d418d2,0,BLIND,1,1,1,29,0,0,26,0,0
brave,sealhard_fb9cb8c1d039,0,MISSED,1,1,1,8,1,0,8,1,0
tavily,sealhard_0117c1361b85,0,BLIND,1,2,2,18,0,0,15,0,0
tavily,sealhard_0611df120e9b,0,BLIND,1,2,2,28,0,0,24,0,0
tavily,sealhard_06488d667987,0,BLIND,1,1,1,28,0,0,20,0,0
tavily,sealhard_06b1ff93f9e7,1,BLIND,1,1,1,19,0,0,19,0,0
tavily,sealhard_0d25d5916602,1,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_0fc3e12e6df9,0,NOOP,0,0,0,39,0,0,37,0,0
tavily,sealhard_13f3dda94ad1,1,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_154703c26212,0,MISSED,0,0,0,10,1,4,10,1,4
tavily,sealhard_17561ba00ed9,0,NOOP,0,0,0,29,0,9,27,0,8
tavily,sealhard_1768d0c92783,0,MISSED,0,0,0,29,5,0,25,5,0
tavily,sealhard_1b9de8dee6b2,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_21420e375cbb,1,BLIND,1,2,2,18,0,0,17,0,0
tavily,sealhard_26f0dfb5b0e5,0,MISSED,0,0,0,59,2,8,52,1,6
tavily,sealhard_2a710db3a65d,0,MISSED,1,1,1,36,3,2,32,2,1
tavily,sealhard_2ccdb7c85090,0,NOOP,0,0,0,9,0,7,9,0,7
tavily,sealhard_370de35828d1,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_3bdf0b4d6146,0,BLIND,1,2,0,26,0,1,25,0,1
tavily,sealhard_3c3bc246c0d6,1,SMART,1,1,1,9,0,0,9,0,0
tavily,sealhard_3fdf524a2ea9,1,BLIND,1,3,2,51,0,3,31,0,3
tavily,sealhard_41eb61aaf82d,0,NOOP,0,0,0,9,0,0,9,0,0
tavily,sealhard_457b38855fa4,1,MISSED,0,0,0,28,3,0,26,3,0
tavily,sealhard_468bd5efbfe8,0,NOOP,0,0,0,30,0,3,25,0,3
tavily,sealhard_470fed8377ce,0,SMART,1,4,3,24,0,0,23,0,0
tavily,sealhard_4981ad02a6fc,1,MISSED,0,0,0,10,1,1,10,1,1
tavily,sealhard_4a3db339e0a0,0,SMART,1,3,2,27,2,0,25,1,0
tavily,sealhard_4adca023da1a,0,BLIND,1,3,3,14,0,0,14,0,0
tavily,sealhard_4f128462c995,1,MISSED,0,0,0,10,7,0,10,7,0
tavily,sealhard_4f507e42c1be,0,BLIND,1,2,2,38,0,0,30,0,0
tavily,sealhard_4f8215a4eaab,0,MISSED,1,1,1,7,1,1,7,1,1
tavily,sealhard_509fa8d560e8,0,MISSED,1,1,0,27,1,1,23,1,1
tavily,sealhard_52c34c9decc3,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_5668b93dd088,0,NOOP,0,0,0,9,0,3,9,0,3
tavily,sealhard_5685bd22ca4d,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_57a597e92ac4,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_5a4a585bfbac,1,BLIND,1,3,3,27,0,0,24,0,0
tavily,sealhard_5e17b3c38fb1,1,BLIND,1,1,1,8,0,1,8,0,1
tavily,sealhard_61f85b369b4c,1,MISSED,1,1,1,28,1,0,28,1,0
tavily,sealhard_644ca5e960ff,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_6747b5584761,0,BLIND,1,3,2,16,0,0,15,0,0
tavily,sealhard_6c0f077e50c1,1,BLIND,1,1,1,19,0,0,19,0,0
tavily,sealhard_6c8b9a75ad1b,1,BLIND,1,1,1,17,0,0,17,0,0
tavily,sealhard_6d8469c83a5a,0,BLIND,1,1,1,29,0,0,28,0,0
tavily,sealhard_6f8f541710fe,1,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_77156a372cf9,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_79977a575736,1,BLIND,1,3,3,27,0,0,19,0,0
tavily,sealhard_7a73644c826b,0,BLIND,1,3,3,17,0,0,17,0,0
tavily,sealhard_7b44552616b7,0,NOOP,0,0,0,29,0,0,25,0,0
tavily,sealhard_7e06b26c28c5,0,BLIND,1,5,5,69,0,0,38,0,0
tavily,sealhard_7e9246c1c2fc,1,BLIND,1,2,2,28,0,0,25,0,0
tavily,sealhard_7fdc626d3d31,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_83027d490eb7,0,BLIND,1,2,2,7,0,0,7,0,0
tavily,sealhard_84253b2d7450,1,BLIND,1,1,1,19,0,0,13,0,0
tavily,sealhard_848d0e19b216,0,BLIND,1,1,1,18,0,0,17,0,0
tavily,sealhard_85fcb317a706,0,BLIND,1,1,1,29,0,1,29,0,1
tavily,sealhard_862314ca8353,0,BLIND,1,1,1,29,0,0,25,0,0
tavily,sealhard_877552ec67c0,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_88907b1ee49b,0,BLIND,1,3,2,52,0,0,50,0,0
tavily,sealhard_8979d1d1c501,0,BLIND,1,2,2,17,0,0,14,0,0
tavily,sealhard_8999039cdd56,0,BLIND,1,1,1,27,0,0,27,0,0
tavily,sealhard_8b97a64daaf1,1,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_904abf430fa7,0,NOOP,0,0,0,49,0,0,38,0,0
tavily,sealhard_92742491b67e,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_93641f5fc924,0,BLIND,1,2,2,30,0,0,26,0,0
tavily,sealhard_98cbbbef96fd,0,NOOP,0,0,0,18,0,6,18,0,6
tavily,sealhard_9c2333ca67b4,1,MISSED,1,1,1,9,1,1,9,1,1
tavily,sealhard_9d5b346b1ad2,0,BLIND,1,8,8,51,0,0,49,0,0
tavily,sealhard_a2c20fcc3ff1,0,NOOP,0,0,0,9,0,0,9,0,0
tavily,sealhard_ac9846d309e4,1,MISSED,1,1,1,49,1,0,41,1,0
tavily,sealhard_b01f894cc6d2,0,NOOP,0,0,0,10,0,0,10,0,0
tavily,sealhard_b5744e399b13,0,BLIND,1,1,1,8,0,2,8,0,2
tavily,sealhard_b6c30f169f85,0,BLIND,1,1,1,29,0,0,26,0,0
tavily,sealhard_b95d990d560f,1,BLIND,1,3,3,27,0,0,24,0,0
tavily,sealhard_b9d6a3303845,0,BLIND,1,1,1,56,0,0,53,0,0
tavily,sealhard_c02ac99c3053,0,BLIND,1,4,4,31,0,0,31,0,0
tavily,sealhard_c42af40fb77f,0,BLIND,1,1,1,8,0,0,8,0,0
tavily,sealhard_c71d4bbb72a2,1,BLIND,1,1,1,17,0,0,17,0,0
tavily,sealhard_c8cb1e820500,0,NOOP,0,0,0,10,0,1,10,0,1
tavily,sealhard_caa717c1ae32,0,BLIND,1,2,2,8,0,0,8,0,0
tavily,sealhard_cbc32eddafe8,0,BLIND,1,1,1,58,0,0,44,0,0
tavily,sealhard_ce095a0ff9b3,0,NOOP,0,0,0,28,0,0,21,0,0
tavily,sealhard_d0e475bbc1fa,0,NOOP,0,0,0,19,0,1,19,0,1
tavily,sealhard_d246c498c8d0,0,NOOP,0,0,0,39,0,0,33,0,0
tavily,sealhard_d3cfe61ba140,0,NOOP,0,0,0,59,0,0,50,0,0
tavily,sealhard_d6f7180757d7,0,BLIND,1,1,1,36,0,0,23,0,0
tavily,sealhard_d84ed7de52a6,0,BLIND,1,2,2,38,0,1,34,0,1
tavily,sealhard_d86116d626f4,0,BLIND,1,1,1,9,0,0,9,0,0
tavily,sealhard_da3317f9956a,0,BLIND,1,3,3,18,0,0,15,0,0
tavily,sealhard_dfbfbf0c656e,1,MISSED,0,0,0,37,2,0,37,2,0
tavily,sealhard_e0bad036abba,0,BLIND,1,1,1,8,0,0,8,0,0
tavily,sealhard_e5ddddb8907e,0,BLIND,1,2,2,37,0,0,35,0,0
tavily,sealhard_eaa4ac25b7c8,1,NOOP,0,0,0,24,0,1,13,0,1
tavily,sealhard_efdabbe9b72d,0,BLIND,1,1,1,24,0,0,21,0,0
tavily,sealhard_efefd0c39dc3,0,BLIND,1,1,1,19,0,0,19,0,0
tavily,sealhard_f10df60e2683,0,BLIND,1,1,1,34,0,0,33,0,0
tavily,sealhard_f39b83a91b3d,0,BLIND,1,3,2,30,0,0,24,0,0
tavily,sealhard_f3d0240d194b,0,BLIND,1,1,1,28,0,0,21,0,0
tavily,sealhard_f55654234b08,0,BLIND,1,2,1,34,0,0,29,0,0
tavily,sealhard_fae643a27cce,0,BLIND,1,3,2,25,0,0,20,0,0
tavily,sealhard_fb76b1d418d2,0,BLIND,1,1,1,28,0,0,23,0,0
tavily,sealhard_fb9cb8c1d039,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_0117c1361b85,0,BLIND,1,3,2,27,0,0,22,0,0
firecrawl,sealhard_0611df120e9b,0,BLIND,1,1,1,39,0,1,33,0,1
firecrawl,sealhard_06488d667987,0,BLIND,1,1,1,29,0,0,20,0,0
firecrawl,sealhard_06b1ff93f9e7,0,BLIND,1,1,1,19,0,0,19,0,0
firecrawl,sealhard_0d25d5916602,1,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_0fc3e12e6df9,0,BLIND,1,2,2,28,0,0,27,0,0
firecrawl,sealhard_13f3dda94ad1,1,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_154703c26212,0,NOOP,0,0,0,10,0,4,10,0,4
firecrawl,sealhard_17561ba00ed9,0,NOOP,0,0,0,30,0,12,25,0,10
firecrawl,sealhard_1768d0c92783,0,MISSED,0,0,0,30,6,0,24,5,0
firecrawl,sealhard_1b9de8dee6b2,0,BLIND,1,1,1,9,0,1,9,0,1
firecrawl,sealhard_21420e375cbb,1,BLIND,1,1,1,19,0,0,18,0,0
firecrawl,sealhard_26f0dfb5b0e5,0,MISSED,1,3,3,27,1,1,23,1,1
firecrawl,sealhard_2a710db3a65d,0,BLIND,1,2,2,8,0,0,8,0,0
firecrawl,sealhard_2ccdb7c85090,0,NOOP,0,0,0,10,0,8,10,0,8
firecrawl,sealhard_370de35828d1,1,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_3bdf0b4d6146,0,BLIND,1,1,0,9,0,0,9,0,0
firecrawl,sealhard_3c3bc246c0d6,0,SMART,1,1,1,8,0,0,8,0,0
firecrawl,sealhard_3fdf524a2ea9,1,BLIND,1,1,1,29,0,0,15,0,0
firecrawl,sealhard_41eb61aaf82d,0,NOOP,0,0,0,10,0,0,10,0,0
firecrawl,sealhard_457b38855fa4,0,MISSED,0,0,0,30,1,4,26,1,3
firecrawl,sealhard_468bd5efbfe8,1,MISSED,0,0,0,30,2,1,28,2,1
firecrawl,sealhard_470fed8377ce,0,BLIND,1,1,1,29,0,1,28,0,1
firecrawl,sealhard_4981ad02a6fc,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_4a3db339e0a0,0,SMART,1,3,3,27,0,0,26,0,0
firecrawl,sealhard_4adca023da1a,0,BLIND,1,1,1,66,0,3,49,0,3
firecrawl,sealhard_4f128462c995,1,MISSED,0,0,0,10,9,0,10,9,0
firecrawl,sealhard_4f507e42c1be,0,BLIND,1,1,0,21,0,0,19,0,0
firecrawl,sealhard_4f8215a4eaab,0,BLIND,1,1,1,9,0,2,9,0,2
firecrawl,sealhard_509fa8d560e8,0,BLIND,1,5,4,13,0,0,13,0,0
firecrawl,sealhard_52c34c9decc3,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_5668b93dd088,1,MISSED,1,1,1,14,1,2,14,1,2
firecrawl,sealhard_5685bd22ca4d,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_57a597e92ac4,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_5a4a585bfbac,1,BLIND,1,5,5,75,0,0,64,0,0
firecrawl,sealhard_5e17b3c38fb1,0,BLIND,1,1,1,9,0,1,9,0,1
firecrawl,sealhard_61f85b369b4c,1,BLIND,1,1,1,29,0,0,29,0,0
firecrawl,sealhard_644ca5e960ff,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_6747b5584761,1,BLIND,1,2,1,19,0,0,16,0,0
firecrawl,sealhard_6c0f077e50c1,1,MISSED,0,0,0,10,1,0,10,1,0
firecrawl,sealhard_6c8b9a75ad1b,1,BLIND,1,2,2,18,0,0,18,0,0
firecrawl,sealhard_6d8469c83a5a,0,BLIND,1,2,2,38,0,0,38,0,0
firecrawl,sealhard_6f8f541710fe,0,NOOP,0,0,0,8,0,0,8,0,0
firecrawl,sealhard_77156a372cf9,1,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_79977a575736,1,SMART,1,1,1,29,0,0,17,0,0
firecrawl,sealhard_7a73644c826b,0,BLIND,1,1,1,9,0,1,9,0,1
firecrawl,sealhard_7b44552616b7,1,MISSED,0,0,0,30,1,1,27,1,1
firecrawl,sealhard_7e06b26c28c5,1,BLIND,1,3,3,37,0,0,37,0,0
firecrawl,sealhard_7e9246c1c2fc,1,BLIND,1,2,2,18,0,0,15,0,0
firecrawl,sealhard_7fdc626d3d31,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_83027d490eb7,0,BLIND,1,2,2,8,0,0,8,0,0
firecrawl,sealhard_84253b2d7450,1,BLIND,1,1,1,9,0,1,9,0,1
firecrawl,sealhard_848d0e19b216,1,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_85fcb317a706,0,BLIND,1,2,2,29,0,0,27,0,0
firecrawl,sealhard_862314ca8353,0,BLIND,1,3,3,27,0,0,27,0,0
firecrawl,sealhard_877552ec67c0,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_88907b1ee49b,0,BLIND,1,3,3,24,0,0,24,0,0
firecrawl,sealhard_8979d1d1c501,0,BLIND,1,2,2,18,0,0,15,0,0
firecrawl,sealhard_8999039cdd56,0,MISSED,1,1,1,9,1,0,9,1,0
firecrawl,sealhard_8b97a64daaf1,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_904abf430fa7,0,NOOP,0,0,0,45,0,0,38,0,0
firecrawl,sealhard_92742491b67e,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_93641f5fc924,0,NOOP,0,0,0,26,0,0,24,0,0
firecrawl,sealhard_98cbbbef96fd,0,NOOP,0,0,0,17,0,4,17,0,4
firecrawl,sealhard_9c2333ca67b4,0,BLIND,1,1,1,9,0,3,9,0,3
firecrawl,sealhard_9d5b346b1ad2,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_a2c20fcc3ff1,0,NOOP,0,0,0,10,0,1,10,0,1
firecrawl,sealhard_ac9846d309e4,0,MISSED,1,1,1,49,1,0,41,1,0
firecrawl,sealhard_b01f894cc6d2,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_b5744e399b13,0,BLIND,1,1,1,9,0,2,9,0,2
firecrawl,sealhard_b6c30f169f85,0,BLIND,1,2,2,28,0,0,25,0,0
firecrawl,sealhard_b95d990d560f,1,BLIND,1,2,2,18,0,0,18,0,0
firecrawl,sealhard_b9d6a3303845,0,BLIND,1,3,3,28,0,1,24,0,1
firecrawl,sealhard_c02ac99c3053,0,BLIND,1,4,4,35,0,0,33,0,0
firecrawl,sealhard_c42af40fb77f,1,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_c71d4bbb72a2,0,BLIND,1,1,1,18,0,0,17,0,0
firecrawl,sealhard_c8cb1e820500,0,NOOP,0,0,0,10,0,4,10,0,4
firecrawl,sealhard_caa717c1ae32,0,BLIND,1,1,1,9,0,1,9,0,1
firecrawl,sealhard_cbc32eddafe8,0,BLIND,1,1,1,58,0,0,49,0,0
firecrawl,sealhard_ce095a0ff9b3,0,BLIND,1,1,1,29,0,0,21,0,0
firecrawl,sealhard_d0e475bbc1fa,0,NOOP,0,0,0,10,0,1,10,0,1
firecrawl,sealhard_d246c498c8d0,0,NOOP,0,0,0,31,0,0,26,0,0
firecrawl,sealhard_d3cfe61ba140,0,BLIND,1,2,2,28,0,0,27,0,0
firecrawl,sealhard_d6f7180757d7,0,BLIND,1,1,1,29,0,0,15,0,0
firecrawl,sealhard_d84ed7de52a6,0,BLIND,1,1,1,9,0,1,9,0,1
firecrawl,sealhard_d86116d626f4,0,BLIND,1,1,1,29,0,0,24,0,0
firecrawl,sealhard_da3317f9956a,0,BLIND,1,5,5,25,0,0,24,0,0
firecrawl,sealhard_dfbfbf0c656e,0,BLIND,1,1,1,19,0,0,16,0,0
firecrawl,sealhard_e0bad036abba,0,BLIND,1,1,1,9,0,0,9,0,0
firecrawl,sealhard_e5ddddb8907e,0,BLIND,1,2,2,10,0,0,10,0,0
firecrawl,sealhard_eaa4ac25b7c8,1,MISSED,0,0,0,30,1,4,17,1,3
firecrawl,sealhard_efdabbe9b72d,0,BLIND,1,2,2,24,0,0,21,0,0
firecrawl,sealhard_efefd0c39dc3,1,BLIND,1,1,1,19,0,1,17,0,1
firecrawl,sealhard_f10df60e2683,0,BLIND,1,2,2,58,0,0,56,0,0
firecrawl,sealhard_f39b83a91b3d,1,BLIND,1,3,3,18,0,0,17,0,0
firecrawl,sealhard_f3d0240d194b,0,BLIND,1,1,1,28,0,0,20,0,0
firecrawl,sealhard_f55654234b08,0,BLIND,1,2,1,18,0,0,18,0,0
firecrawl,sealhard_fae643a27cce,0,MISSED,1,1,0,59,1,3,45,1,2
firecrawl,sealhard_fb76b1d418d2,0,BLIND,1,1,1,29,0,0,27,0,0
firecrawl,sealhard_fb9cb8c1d039,1,MISSED,1,1,1,9,1,0,9,1,0
