provider_id,query_id,surface,label,kimi_value,rank,human_value,human_agrees_with_kimi
brave,sealhard_862314ca8353,page_visible,is_garbage,False,9,false,true
brave,sealhard_88907b1ee49b,page_visible,is_garbage,True,1,true,true
brave,sealhard_b95d990d560f,page_visible,is_garbage,True,6,true,true
brave,sealhard_f10df60e2683,page_visible,is_garbage,True,4,true,true
brave,sealhard_f10df60e2683,page_visible,is_garbage,True,1,true,true
tavily,sealhard_17561ba00ed9,snippet_only,contains_gold_answer,False,3,false,true
tavily,sealhard_26f0dfb5b0e5,snippet_only,contains_gold_answer,True,4,true,true
tavily,sealhard_2ccdb7c85090,snippet_only,contains_gold_answer,False,1,false,true
tavily,sealhard_4f128462c995,snippet_only,contains_gold_answer,True,2,true,true
tavily,sealhard_4f128462c995,snippet_only,contains_gold_answer,True,4,true,true
tavily,sealhard_4f128462c995,snippet_only,contains_gold_answer,True,5,true,true
tavily,sealhard_4f128462c995,snippet_only,contains_gold_answer,True,6,unclear,
tavily,sealhard_6c8b9a75ad1b,snippet_only,contains_gold_answer,False,9,false,true
tavily,sealhard_d246c498c8d0,snippet_only,contains_gold_answer,False,7,false,true
tavily,sealhard_f39b83a91b3d,snippet_only,contains_gold_answer,False,5,false,true
tavily,sealhard_17561ba00ed9,snippet_only,contradicts_gold_answer,False,7,false,true
tavily,sealhard_17561ba00ed9,snippet_only,contradicts_gold_answer,True,2,true,true
tavily,sealhard_2a710db3a65d,snippet_only,contradicts_gold_answer,False,4,false,true
tavily,sealhard_2ccdb7c85090,snippet_only,contradicts_gold_answer,True,3,true,true
tavily,sealhard_2ccdb7c85090,snippet_only,contradicts_gold_answer,True,8,true,true
tavily,sealhard_8979d1d1c501,snippet_only,contradicts_gold_answer,False,1,false,true
tavily,sealhard_93641f5fc924,snippet_only,contradicts_gold_answer,False,10,false,true
tavily,sealhard_98cbbbef96fd,snippet_only,contradicts_gold_answer,True,2,true,true
tavily,sealhard_98cbbbef96fd,snippet_only,contradicts_gold_answer,True,1,true,true
tavily,sealhard_d3cfe61ba140,snippet_only,contradicts_gold_answer,False,5,false,true
tavily,sealhard_06b1ff93f9e7,snippet_only,is_garbage,True,10,true,true
tavily,sealhard_17561ba00ed9,snippet_only,is_garbage,False,8,false,true
tavily,sealhard_3fdf524a2ea9,snippet_only,is_garbage,False,5,false,true
tavily,sealhard_457b38855fa4,snippet_only,is_garbage,True,3,true,true
tavily,sealhard_6747b5584761,snippet_only,is_garbage,False,9,false,true
tavily,sealhard_6c8b9a75ad1b,snippet_only,is_garbage,True,2,true,true
tavily,sealhard_6c8b9a75ad1b,snippet_only,is_garbage,True,5,true,true
tavily,sealhard_904abf430fa7,snippet_only,is_garbage,False,10,false,true
tavily,sealhard_d3cfe61ba140,snippet_only,is_garbage,True,2,true,true
tavily,sealhard_e5ddddb8907e,snippet_only,is_garbage,False,6,false,true
tavily,sealhard_4adca023da1a,page_visible,contains_gold_answer,False,2,false,true
tavily,sealhard_4f507e42c1be,page_visible,contains_gold_answer,False,6,false,true
tavily,sealhard_5e17b3c38fb1,page_visible,contains_gold_answer,True,1,true,true
tavily,sealhard_6c0f077e50c1,page_visible,contains_gold_answer,True,1,true,true
tavily,sealhard_6f8f541710fe,page_visible,contains_gold_answer,True,3,true,true
tavily,sealhard_7a73644c826b,page_visible,contains_gold_answer,True,2,true,true
tavily,sealhard_8979d1d1c501,page_visible,contains_gold_answer,False,2,false,true
tavily,sealhard_9d5b346b1ad2,page_visible,contains_gold_answer,False,5,false,true
tavily,sealhard_f39b83a91b3d,page_visible,contains_gold_answer,False,2,false,true
tavily,sealhard_fb76b1d418d2,page_visible,contains_gold_answer,True,8,true,true
tavily,sealhard_0611df120e9b,page_visible,contradicts_gold_answer,True,4,true,true
tavily,sealhard_4f8215a4eaab,page_visible,contradicts_gold_answer,True,2,true,true
tavily,sealhard_77156a372cf9,page_visible,contradicts_gold_answer,True,9,true,true
tavily,sealhard_7e06b26c28c5,page_visible,contradicts_gold_answer,False,2,false,true
tavily,sealhard_85fcb317a706,page_visible,contradicts_gold_answer,True,1,true,true
tavily,sealhard_8999039cdd56,page_visible,contradicts_gold_answer,False,7,false,true
tavily,sealhard_b95d990d560f,page_visible,contradicts_gold_answer,False,2,false,true
tavily,sealhard_da3317f9956a,page_visible,contradicts_gold_answer,False,6,false,true
tavily,sealhard_fae643a27cce,page_visible,contradicts_gold_answer,True,1,true,true
tavily,sealhard_fae643a27cce,page_visible,contradicts_gold_answer,False,5,unclear,
tavily,sealhard_06488d667987,page_visible,is_garbage,False,1,false,true
tavily,sealhard_06b1ff93f9e7,page_visible,is_garbage,False,3,false,true
tavily,sealhard_2a710db3a65d,page_visible,is_garbage,True,8,true,true
tavily,sealhard_4a3db339e0a0,page_visible,is_garbage,False,3,true,false
tavily,sealhard_5a4a585bfbac,page_visible,is_garbage,False,3,false,true
tavily,sealhard_85fcb317a706,page_visible,is_garbage,False,1,false,true
tavily,sealhard_9d5b346b1ad2,page_visible,is_garbage,True,8,true,true
tavily,sealhard_caa717c1ae32,page_visible,is_garbage,True,3,true,true
tavily,sealhard_d6f7180757d7,page_visible,is_garbage,True,9,true,true
tavily,sealhard_f55654234b08,page_visible,is_garbage,True,2,true,true
firecrawl,sealhard_17561ba00ed9,snippet_only,contains_gold_answer,False,2,false,true
firecrawl,sealhard_1768d0c92783,snippet_only,contains_gold_answer,True,1,false,false
firecrawl,sealhard_1768d0c92783,snippet_only,contains_gold_answer,True,7,true,true
firecrawl,sealhard_457b38855fa4,snippet_only,contains_gold_answer,True,4,true,true
firecrawl,sealhard_5668b93dd088,snippet_only,contains_gold_answer,True,3,unclear,
firecrawl,sealhard_6c0f077e50c1,snippet_only,contains_gold_answer,False,10,false,true
firecrawl,sealhard_6c0f077e50c1,snippet_only,contains_gold_answer,True,1,true,true
firecrawl,sealhard_d84ed7de52a6,snippet_only,contains_gold_answer,False,10,false,true
firecrawl,sealhard_da3317f9956a,snippet_only,contains_gold_answer,False,7,false,true
firecrawl,sealhard_eaa4ac25b7c8,snippet_only,contains_gold_answer,False,6,false,true
firecrawl,sealhard_154703c26212,snippet_only,contradicts_gold_answer,True,5,true,true
firecrawl,sealhard_2ccdb7c85090,snippet_only,contradicts_gold_answer,True,10,true,true
firecrawl,sealhard_2ccdb7c85090,snippet_only,contradicts_gold_answer,True,8,true,true
firecrawl,sealhard_5e17b3c38fb1,snippet_only,contradicts_gold_answer,False,3,false,true
firecrawl,sealhard_7a73644c826b,snippet_only,contradicts_gold_answer,True,2,true,true
firecrawl,sealhard_8979d1d1c501,snippet_only,contradicts_gold_answer,False,8,false,true
firecrawl,sealhard_c02ac99c3053,snippet_only,contradicts_gold_answer,False,4,false,true
firecrawl,sealhard_cbc32eddafe8,snippet_only,contradicts_gold_answer,False,5,false,true
firecrawl,sealhard_da3317f9956a,snippet_only,contradicts_gold_answer,False,3,false,true
firecrawl,sealhard_eaa4ac25b7c8,snippet_only,contradicts_gold_answer,True,7,true,true
firecrawl,sealhard_41eb61aaf82d,snippet_only,is_garbage,False,6,false,true
firecrawl,sealhard_4a3db339e0a0,snippet_only,is_garbage,False,6,false,true
firecrawl,sealhard_61f85b369b4c,snippet_only,is_garbage,True,10,true,true
firecrawl,sealhard_cbc32eddafe8,snippet_only,is_garbage,False,10,false,true
firecrawl,sealhard_d6f7180757d7,snippet_only,is_garbage,True,6,true,true
firecrawl,sealhard_d6f7180757d7,snippet_only,is_garbage,True,10,true,true
firecrawl,sealhard_d86116d626f4,snippet_only,is_garbage,False,9,false,true
firecrawl,sealhard_da3317f9956a,snippet_only,is_garbage,False,1,false,true
firecrawl,sealhard_fae643a27cce,snippet_only,is_garbage,True,4,true,true
firecrawl,sealhard_fae643a27cce,snippet_only,is_garbage,True,2,true,true
firecrawl,sealhard_0117c1361b85,page_visible,contains_gold_answer,False,5,false,true
firecrawl,sealhard_26f0dfb5b0e5,page_visible,contains_gold_answer,False,1,false,true
firecrawl,sealhard_4a3db339e0a0,page_visible,contains_gold_answer,True,1,true,true
firecrawl,sealhard_509fa8d560e8,page_visible,contains_gold_answer,True,3,false,false
firecrawl,sealhard_5a4a585bfbac,page_visible,contains_gold_answer,False,3,false,true
firecrawl,sealhard_5e17b3c38fb1,page_visible,contains_gold_answer,False,6,false,true
firecrawl,sealhard_79977a575736,page_visible,contains_gold_answer,True,4,true,true
firecrawl,sealhard_7a73644c826b,page_visible,contains_gold_answer,True,1,true,true
firecrawl,sealhard_85fcb317a706,page_visible,contains_gold_answer,False,1,false,true
firecrawl,sealhard_fb9cb8c1d039,page_visible,contains_gold_answer,True,10,true,true
firecrawl,sealhard_2a710db3a65d,page_visible,contradicts_gold_answer,True,1,unclear,
firecrawl,sealhard_370de35828d1,page_visible,contradicts_gold_answer,False,1,false,true
firecrawl,sealhard_470fed8377ce,page_visible,contradicts_gold_answer,True,1,true,true
firecrawl,sealhard_5e17b3c38fb1,page_visible,contradicts_gold_answer,True,6,true,true
firecrawl,sealhard_7e9246c1c2fc,page_visible,contradicts_gold_answer,False,3,false,true
firecrawl,sealhard_848d0e19b216,page_visible,contradicts_gold_answer,False,1,false,true
firecrawl,sealhard_ce095a0ff9b3,page_visible,contradicts_gold_answer,True,1,true,true
firecrawl,sealhard_efdabbe9b72d,page_visible,contradicts_gold_answer,True,1,true,true
firecrawl,sealhard_f3d0240d194b,page_visible,contradicts_gold_answer,False,1,false,true
firecrawl,sealhard_f55654234b08,page_visible,contradicts_gold_answer,False,2,false,true
firecrawl,sealhard_0117c1361b85,page_visible,is_garbage,False,5,false,true
firecrawl,sealhard_0117c1361b85,page_visible,is_garbage,True,7,true,true
firecrawl,sealhard_2a710db3a65d,page_visible,is_garbage,True,8,true,true
firecrawl,sealhard_5668b93dd088,page_visible,is_garbage,False,1,false,true
firecrawl,sealhard_7fdc626d3d31,page_visible,is_garbage,False,1,false,true
firecrawl,sealhard_88907b1ee49b,page_visible,is_garbage,False,1,false,true
firecrawl,sealhard_92742491b67e,page_visible,is_garbage,False,4,false,true
firecrawl,sealhard_e5ddddb8907e,page_visible,is_garbage,True,1,true,true
firecrawl,sealhard_f10df60e2683,page_visible,is_garbage,True,1,true,true
firecrawl,sealhard_f10df60e2683,page_visible,is_garbage,True,1,true,true
